signal,horizon,group_type,group,ic,n_obs
sue_z,10,report_period,2022-12-31,-0.05729612365417008,4428
sue_z,10,report_period,2023-03-31,-0.026670820239382158,4475
sue_z,10,report_period,2023-06-30,-0.09646750014704793,4581
sue_z,10,report_period,2023-09-30,-0.15291520129761732,4626
sue_z,10,report_period,2023-12-31,-0.016364823373296006,4678
sue_z,10,report_period,2024-03-31,0.10096941506124933,4685
sue_z,10,report_period,2024-06-30,-0.008169181456931582,4693
sue_z,20,report_period,2019-03-31,0.04594368010479301,3255
sue_z,20,report_period,2019-06-30,0.013293822317898087,3280
sue_z,20,report_period,2019-09-30,0.025661998197347605,3315
sue_z,20,report_period,2019-12-31,-0.04785585289639828,3367
sue_z,20,report_period,2020-03-31,0.01871711900688941,3396
sue_z,20,report_period,2020-06-30,-0.04440714246922425,3469
sue_z,20,report_period,2020-09-30,-0.09445561531452808,3568
sue_z,20,report_period,2020-12-31,-0.10022450206562289,3677
sue_z,20,report_period,2021-03-31,0.026508373879007056,3740
sue_z,20,report_period,2021-06-30,0.013211306121066258,3889
sue_z,20,report_period,2021-09-30,-0.13165791375385552,3963
sue_z,20,report_period,2021-12-31,-0.09994823115071172,4115
sue_z,20,report_period,2022-03-31,0.0038899781614720914,4154
sue_z,20,report_period,2022-06-30,0.013294472133082514,4237
sue_z,20,report_period,2022-09-30,-0.13018393150185292,4310
sue_z,20,report_period,2022-12-31,-0.04941106288883477,4428
sue_z,20,report_period,2023-03-31,-0.047159951510826095,4475
sue_z,20,report_period,2023-06-30,-0.0698221701529714,4581
sue_z,20,report_period,2023-09-30,-0.0883954880237206,4626
sue_z,20,report_period,2023-12-31,-0.015467693239839831,4678
sue_z,20,report_period,2024-03-31,0.10807711151392899,4685
sue_z,20,report_period,2024-06-30,-0.14647605057893134,4694
sue_z,40,report_period,2019-03-31,0.07266550199527996,3255
sue_z,40,report_period,2019-06-30,0.10587355907822193,3280
sue_z,40,report_period,2019-09-30,-0.009736179436417613,3315
sue_z,40,report_period,2019-12-31,-0.04622269025973244,3365
sue_z,40,report_period,2020-03-31,0.08651802314942872,3396
sue_z,40,report_period,2020-06-30,-0.004219581263255194,3469
sue_z,40,report_period,2020-09-30,0.024371902682623885,3569
sue_z,40,report_period,2020-12-31,-0.06869286281279792,3677
sue_z,40,report_period,2021-03-31,0.06826521479781457,3740
sue_z,40,report_period,2021-06-30,-0.03150764425411313,3889
sue_z,40,report_period,2021-09-30,-0.19892548448114986,3963
sue_z,40,report_period,2021-12-31,-0.08323667606698207,4114
sue_z,40,report_period,2022-03-31,0.018674068403968364,4155
sue_z,40,report_period,2022-06-30,-0.06544195336599964,4237
sue_z,40,report_period,2022-09-30,-0.14894410368975003,4310
sue_z,40,report_period,2022-12-31,-0.027204694096094162,4428
sue_z,40,report_period,2023-03-31,-0.006806312588137179,4475
sue_z,40,report_period,2023-06-30,-0.12437754989028345,4581
sue_z,40,report_period,2023-09-30,-0.00845443709111532,4626
sue_z,40,report_period,2023-12-31,0.02047583343330098,4678
sue_z,40,report_period,2024-03-31,0.15576571295233324,4685
sue_z,40,report_period,2024-06-30,-0.09299279441487049,4693
sue_z,60,report_period,2019-03-31,0.12741647707442952,3255
sue_z,60,report_period,2019-06-30,0.07528854022585756,3280
sue_z,60,report_period,2019-09-30,0.08362154604814985,3315
sue_z,60,report_period,2019-12-31,-0.021884734652565817,3367
sue_z,60,report_period,2020-03-31,0.11962850639122549,3395
sue_z,60,report_period,2020-06-30,-0.06286840928801266,3469
sue_z,60,report_period,2020-09-30,0.1298494767336994,3569
sue_z,60,report_period,2020-12-31,-0.013711300392520234,3677
sue_z,60,report_period,2021-03-31,0.15669930018725092,3740
sue_z,60,report_period,2021-06-30,-0.11316996180056486,3889
sue_z,60,report_period,2021-09-30,-0.17468688639037125,3963
sue_z,60,report_period,2021-12-31,-0.0830328311048575,4115
sue_z,60,report_period,2022-03-31,0.018270702427063096,4155
sue_z,60,report_period,2022-06-30,-0.12057637849487934,4237
sue_z,60,report_period,2022-09-30,-0.11563837821315995,4310
sue_z,60,report_period,2022-12-31,-0.0705397055968997,4428
sue_z,60,report_period,2023-03-31,-0.03352215347418785,4475
sue_z,60,report_period,2023-06-30,-0.13513295580593415,4581
sue_z,60,report_period,2023-09-30,0.1574059151392897,4626
sue_z,60,report_period,2023-12-31,0.027680419632574924,4678
sue_z,60,report_period,2024-03-31,0.1286174634554348,4685
sue_z,60,report_period,2024-06-30,-0.14988813800598436,235
sue_ind_neutral,1,report_period,2019-03-31,0.0585138921683403,3255
sue_ind_neutral,1,report_period,2019-06-30,-0.002477982058858619,3280
sue_ind_neutral,1,report_period,2019-09-30,0.017741498749059843,3315
sue_ind_neutral,1,report_period,2019-12-31,0.014566660390691917,3367
sue_ind_neutral,1,report_period,2020-03-31,0.05156577233774272,3396
sue_ind_neutral,1,report_period,2020-06-30,0.0037608025025034713,3469
sue_ind_neutral,1,report_period,2020-09-30,-0.01793842348214078,3569
sue_ind_neutral,1,report_period,2020-12-31,0.024499283783670025,3677
sue_ind_neutral,1,report_period,2021-03-31,0.05225196512822877,3740
sue_ind_neutral,1,report_period,2021-06-30,-0.003194615528774991,3889
sue_ind_neutral,1,report_period,2021-09-30,-0.036324133125781186,3963
sue_ind_neutral,1,report_period,2021-12-31,-0.0008170052799524193,4115
sue_ind_neutral,1,report_period,2022-03-31,0.05257969932654946,4155
sue_ind_neutral,1,report_period,2022-06-30,-0.01602730113314121,4237
sue_ind_neutral,1,report_period,2022-09-30,-0.04308262759695631,4310
sue_ind_neutral,1,report_period,2022-12-31,0.006014372740865244,4428
sue_ind_neutral,1,report_period,2023-03-31,0.03997119604621002,4475
sue_ind_neutral,1,report_period,2023-06-30,-0.020092573792406598,4581
sue_ind_neutral,1,report_period,2023-09-30,-0.03476574367548761,4626
sue_ind_neutral,1,report_period,2023-12-31,-0.02282950462318462,4678
sue_ind_neutral,1,report_period,2024-03-31,0.04656787466934305,4685
sue_ind_neutral,1,report_period,2024-06-30,-0.0067015402714590624,4694
sue_ind_neutral,5,report_period,2019-03-31,0.02969796847978453,3255
sue_ind_neutral,5,report_period,2019-06-30,0.01855701367970085,3280
sue_ind_neutral,5,report_period,2019-09-30,0.0645370293851794,3315
sue_ind_neutral,5,report_period,2019-12-31,0.0035161723576337084,3367
sue_ind_neutral,5,report_period,2020-03-31,0.04672942557317908,3396
sue_ind_neutral,5,report_period,2020-06-30,-0.042938735471935434,3469
sue_ind_neutral,5,report_period,2020-09-30,-0.05133723551026186,3569
sue_ind_neutral,5,report_period,2020-12-31,-0.04459639955693646,3677
sue_ind_neutral,5,report_period,2021-03-31,0.04737532269729429,3740
sue_ind_neutral,5,report_period,2021-06-30,-0.021972317853173873,3889
sue_ind_neutral,5,report_period,2021-09-30,-0.1005245422981142,3963
sue_ind_neutral,5,report_period,2021-12-31,-0.07183257145964704,4115
sue_ind_neutral,5,report_period,2022-03-31,0.03197862266576694,4155
sue_ind_neutral,5,report_period,2022-06-30,-0.011445803990767809,4237
sue_ind_neutral,5,report_period,2022-09-30,-0.07953350901242356,4310
sue_ind_neutral,5,report_period,2022-12-31,-0.025666309122439245,4428
sue_ind_neutral,5,report_period,2023-03-31,0.006975606900838775,4475
sue_ind_neutral,5,report_period,2023-06-30,-0.020849812843951033,4581
sue_ind_neutral,5,report_period,2023-09-30,-0.10969162652013133,4626
sue_ind_neutral,5,report_period,2023-12-31,-0.053542298461662106,4678
sue_ind_neutral,5,report_period,2024-03-31,0.021581315843212167,4685
sue_ind_neutral,5,report_period,2024-06-30,0.00032958660727478665,4693
sue_ind_neutral,10,report_period,2019-03-31,0.03887684214306839,3255
sue_ind_neutral,10,report_period,2019-06-30,-0.0230912275845779,3280
sue_ind_neutral,10,report_period,2019-09-30,0.05541889053641849,3315
sue_ind_neutral,10,report_period,2019-12-31,-0.005550429584776594,3367
sue_ind_neutral,10,report_period,2020-03-31,0.038153293657475405,3396
sue_ind_neutral,10,report_period,2020-06-30,-0.04656073560205995,3469
sue_ind_neutral,10,report_period,2020-09-30,-0.06845721595440006,3569
sue_ind_neutral,10,report_period,2020-12-31,-0.07454843532898102,3677
sue_ind_neutral,10,report_period,2021-03-31,0.07305160290627309,3740
sue_ind_neutral,10,report_period,2021-06-30,-0.025487625421304286,3889
sue_ind_neutral,10,report_period,2021-09-30,-0.14811806363797386,3963
sue_ind_neutral,10,report_period,2021-12-31,-0.06278406096701154,4115
sue_ind_neutral,10,report_period,2022-03-31,0.009370285214728175,4155
