code,error
688021,"DataSourceError: stock_financial_abstract_ths({'symbol': '688021', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688025,"DataSourceError: stock_financial_abstract_ths({'symbol': '688025', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688026,"DataSourceError: stock_financial_abstract_ths({'symbol': '688026', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688028,"DataSourceError: stock_financial_abstract_ths({'symbol': '688028', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688029,"DataSourceError: stock_financial_abstract_ths({'symbol': '688029', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688027,"DataSourceError: stock_financial_abstract_ths({'symbol': '688027', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688030,"DataSourceError: stock_financial_abstract_ths({'symbol': '688030', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688035,"DataSourceError: stock_financial_abstract_ths({'symbol': '688035', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688032,"DataSourceError: stock_financial_abstract_ths({'symbol': '688032', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688031,"DataSourceError: stock_financial_abstract_ths({'symbol': '688031', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688036,"DataSourceError: stock_financial_abstract_ths({'symbol': '688036', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688037,"DataSourceError: stock_financial_abstract_ths({'symbol': '688037', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688039,"DataSourceError: stock_financial_abstract_ths({'symbol': '688039', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688038,"DataSourceError: stock_financial_abstract_ths({'symbol': '688038', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688041,"DataSourceError: stock_financial_abstract_ths({'symbol': '688041', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688047,"DataSourceError: stock_financial_abstract_ths({'symbol': '688047', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688045,"DataSourceError: stock_financial_abstract_ths({'symbol': '688045', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688046,"DataSourceError: stock_financial_abstract_ths({'symbol': '688046', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688048,"DataSourceError: stock_financial_abstract_ths({'symbol': '688048', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688049,"DataSourceError: stock_financial_abstract_ths({'symbol': '688049', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688051,"DataSourceError: stock_financial_abstract_ths({'symbol': '688051', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688050,"DataSourceError: stock_financial_abstract_ths({'symbol': '688050', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688052,"DataSourceError: stock_financial_abstract_ths({'symbol': '688052', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688056,"DataSourceError: stock_financial_abstract_ths({'symbol': '688056', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688055,"DataSourceError: stock_financial_abstract_ths({'symbol': '688055', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688057,"DataSourceError: stock_financial_abstract_ths({'symbol': '688057', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688058,"DataSourceError: stock_financial_abstract_ths({'symbol': '688058', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688059,"DataSourceError: stock_financial_abstract_ths({'symbol': '688059', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688060,"DataSourceError: stock_financial_abstract_ths({'symbol': '688060', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688061,"DataSourceError: stock_financial_abstract_ths({'symbol': '688061', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688062,"DataSourceError: stock_financial_abstract_ths({'symbol': '688062', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688067,"DataSourceError: stock_financial_abstract_ths({'symbol': '688067', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688065,"DataSourceError: stock_financial_abstract_ths({'symbol': '688065', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688063,"DataSourceError: stock_financial_abstract_ths({'symbol': '688063', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688068,"DataSourceError: stock_financial_abstract_ths({'symbol': '688068', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688071,"DataSourceError: stock_financial_abstract_ths({'symbol': '688071', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688070,"DataSourceError: stock_financial_abstract_ths({'symbol': '688070', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688069,"DataSourceError: stock_financial_abstract_ths({'symbol': '688069', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688072,"DataSourceError: stock_financial_abstract_ths({'symbol': '688072', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688075,"DataSourceError: stock_financial_abstract_ths({'symbol': '688075', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688077,"DataSourceError: stock_financial_abstract_ths({'symbol': '688077', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688073,"DataSourceError: stock_financial_abstract_ths({'symbol': '688073', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688078,"DataSourceError: stock_financial_abstract_ths({'symbol': '688078', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688081,"DataSourceError: stock_financial_abstract_ths({'symbol': '688081', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688080,"DataSourceError: stock_financial_abstract_ths({'symbol': '688080', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688079,"DataSourceError: stock_financial_abstract_ths({'symbol': '688079', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688082,"DataSourceError: stock_financial_abstract_ths({'symbol': '688082', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688085,"DataSourceError: stock_financial_abstract_ths({'symbol': '688085', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688083,"DataSourceError: stock_financial_abstract_ths({'symbol': '688083', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688084,"DataSourceError: stock_financial_abstract_ths({'symbol': '688084', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
688087,"DataSourceError: stock_financial_abstract_ths({'symbol': '688087', 'indicator': '按报告期'}) 重试 4 次后仍失败: AttributeError: 'NoneType' object has no attribute 'string'"
