dimension,variant,signal,horizon,top_pct,aum,n_cohorts,n_events_used,n_names_mean,gross_annual_return,net_annual_return,gross_sharpe,net_sharpe,net_max_drawdown,benchmark_annual_return,tracking_error,information_ratio,net_information_ratio,mean_cost,hit_rate_active,capacity_median
year,2021,,,,,9.0,15267.0,339.6666666666667,0.37642066280031683,0.2704427086403174,4.331888090559315,3.003358691762553,-0.008735935949815365,0.5582594729183998,0.06326334364825385,-2.0875615659355837,-3.6076152291040438,0.006798103880129524,0.2222222222222222,296556316.665
year,2022,,,,,9.0,16813.0,373.8888888888889,-0.1154819700024764,-0.17954368684926703,-0.4087653853150566,-0.7163995347726521,-0.15096784739209046,-0.05587259745244222,0.08266128857168802,-0.9038691242193813,-2.045304917174718,0.006151214309048784,0.4444444444444444,476990874.342
year,2023,,,,,9.0,18108.0,402.6666666666667,-0.07025031038530671,-0.1376387360860175,-0.6328962186848877,-1.2812498052363805,-0.14140195898969676,-0.01718159590320989,0.061399284117253206,-0.9112239562576281,-2.8198275618973456,0.006175586488659703,0.1111111111111111,638096169.4010001
year,2024,,,,,7.0,14055.0,401.7142857142857,0.3992274830046951,0.2505387184779473,1.0671576519201986,0.7512930828242659,-0.18381222471784275,0.8190056554435918,0.12217818360495614,-2.2924059680743345,-2.601947704701733,0.009354903791819275,0.42857142857142855,512871915.35999995
size,low,,,,,48.0,28181.0,117.79166666666667,0.2222928313674737,0.046228244037729294,0.7948886484833803,0.29243815713031984,-0.3745490417654276,0.2786548725878246,0.18272548200982522,-0.16586117354724908,-1.0662989994794678,0.013038396406218995,0.3333333333333333,59196081.13525
size,mid,,,,,48.0,29776.0,124.45833333333333,0.0030674459966846257,-0.11385617433145256,0.12785845204889212,-0.36171837417169966,-0.5339726245320939,0.10302122136432024,0.08572971911514807,-1.097296975023521,-2.2887203042996647,0.010116937296554508,0.3541666666666667,162163863.06350002
size,high,,,,,49.0,29912.0,122.46938775510205,-0.12134846344503425,-0.1903211778772781,-0.5520114081486215,-0.9152763676056531,-0.6539623219342996,0.008444057980933284,0.11600305801022744,-1.1982979236848843,-1.8246689863601626,0.006573121508772695,0.24489795918367346,514767361.14750004
liquidity,low,,,,,47.0,28942.0,123.53191489361703,0.10158963189407011,-0.05322601426043738,0.5266714747711151,-0.1044790989210684,-0.40675765152835297,0.28651196428126213,0.08208270151316979,-1.8734143573094784,-3.3812919200349256,0.012437999307347803,0.2978723404255319,81915142.87300001
liquidity,mid,,,,,48.0,29381.0,122.85416666666667,0.048306699817948884,-0.06791343980862752,0.31836678446634475,-0.187747915885282,-0.4560829131365749,0.179272209081192,0.07361066964351459,-1.6407261094379575,-2.8521024755604705,0.00962387328677762,0.2916666666666667,352990018.44375
liquidity,high,,,,,49.0,29445.0,120.57142857142857,-0.08932104478010616,-0.15993335103930106,-0.3527043758802317,-0.7251988708427713,-0.6464345517391652,-0.025472317529181887,0.07512473607728613,-0.9268476960319207,-2.0328354607690384,0.006588085937701456,0.42857142857142855,1119107555.989
